model name,release date,max #core per cpu,total carbon,std,manufacture percentage,transportation percentage,estimated use percentage,EOL percentage,"energy demand (yearly TEC, kwh)",2.5'' HDD quantity,2.5_HDD size,3.5'' HDD quantity,3.5_HDD size,SSD quantity,SSD size,DRAM size,CPU quantity,
fc630,2014,22,"6,570","5,890",24.5,1.5,73.7,0.3,"1,152",2,600,0,0,0,0,16,2,
m630,2014,22,"6,180","5,800",25.3,1.4,73.1,0.2,"1,063",2,600,0,0,0,0,16,2,
r630,2014,22,"7,260","7,580",17.4,0.3,82.2,0.1,"1,434",4,"4,800",0,0,0,0,16,2,
r730,2014,22,"7,490","7,530",16.3,0.3,83.2,0.2,"1,474",4,"1,200",0,0,0,0,16,2,
r730xd,2014,22,"8,970","9,920",14.5,0.3,85.1,0.1,"1,813",6,"6,600",0,0,0,0,32,2,
t330,2014,4,"4,800","4,250",23.9,0.9,74.9,0.3,859,0,0,2,"2,000",0,0,16,1,
t430,2014,14,"8,520","9,810",14.2,0.6,85,0.2,"1,698",0,0,2,"2,000",0,0,16,2,
t630,2014,22,"8,560","8,960",14.6,0.7,84.5,0.2,859,0,0,4,"4,000",0,0,16,2,
fc430,2015,18,"5,680","4,750",27.7,1.8,70.2,0.3,975,0,0,0,0,2,400,16,2,
m830,2015,22,"9,150","9,010",18.5,0.2,81.2,0.1,"1,770",2,600,0,0,0,0,64,4,
r230,2015,4,"5,380","5,160",21.2,0.3,78.4,0.1,"1,011",0,0,2,"2,000",0,0,16,1,
r330,2015,4,"5,510","5,500",20.8,0.4,78.7,0.1,"1,015",0,0,2,"2,000",0,0,16,2,
r930,2015,24,"13,300","14,200",13.4,0.5,85.9,0.2,"2,764",6,"4,600",0,0,0,0,256,4,
t130,2015,4,"4,260","3,850",26.9,0.8,72.1,0.2,745,0,0,2,"2,000",0,0,16,1,
c4130,2016,22,"12,700","14,000",9.5,0.2,90.2,0.1,"2,768",0,0,0,0,1,200,16,2,
fc830,2016,22,"8,970","8,580",18.9,1.3,79.6,0.2,"1,716",2,600,0,0,0,0,32,2,
r830,2016,22,"12,600","12,300",13.8,0.2,85.9,0.1,"2,262",6,"4,600",0,0,0,0,256,2,
c4140,2017,20,"6,800","6,840",18.3,0.7,80.8,0.2,"1,325",0,0,0,0,0,0,32,2,
c6420,2017,28,"6,510","6,410",18.5,0.5,80.7,0.3,"1,243",4,0,0,0,0,0,32,2,
fc640,2017,28,"7,460","6,890",21.7,1.4,76.8,0.1,"1,370",2,600,0,0,0,0,16,2,
m640,2017,28,"7,000","6,270",23.7,3.6,72.2,0.5,"1,215",2,960,0,0,0,0,64,2,
r440,2017,24,"7,360","7,460",15.7,0.3,83.9,0.1,"1,480",2,"2,400",0,0,0,0,16,2,
r540,2017,20,"8,230","8,780",15,0.3,84.6,0.1,"1,636",0,0,4,"8,000",0,0,32,2,
r640,2017,28,"7,730","7,900",16.6,0.3,83.6,0.1,"1,760",4,"1,200",0,0,0,0,32,2,
r740,2017,28,"8,640","8,480",15.2,0.4,84.3,0.1,"1,760",3,"1,600",0,0,0,0,32,2,
r740xd,2017,28,"9,180","10,600",14.4,0.3,85.2,0.1,"1,859",3,"1,600",0,0,0,0,32,2,
r940,2017,28,"14,100","15,500",9.8,0.4,89.6,0.2,"3,012",6,"8,600",0,0,0,0,64,2,
r6415,2017,32,"6,840","6,770",17.4,0.3,82.2,0.1,"1,360",4,"1,200",0,0,0,0,16,2,
r7415,2017,32,"8,090","8,310",15.2,0.3,84.4,0.1,"1,628",6,"4,600",0,0,0,0,8,2,
r7425,2017,32,"11,600","12,400",11.3,0.2,88.4,0.1,"2,470",6,"4,600",0,0,0,0,32,2,
t440,2017,16,"7,810","7,850",15.3,0.5,84,0.2,"1,577",4,"1,200",0,0,0,0,16,2,
t640,2017,28,"8,000","8,130",16.4,0.7,82.6,0.3,"1,585",6,"5,400",0,0,0,0,32,2,
r240,2018,8,"5,260","4,860",22.2,0.4,77.3,0.1,981,0,0,2,"2,000",0,0,16,1,
r340,2018,8,"5,230","5,500",22,0.3,77.6,0.1,987,0,0,2,"2,000",0,0,16,1,
r840,2018,28,"15,600","17,500",9.8,0.2,89.9,0.1,"3,326",6,"4,600",0,0,0,0,128,4,
t140,2018,8,"4,480","4,160",25.8,0.8,73.2,0.2,800,0,0,2,"2,000",0,0,16,1,
t340,2018,8,"4,780","4,630",23.7,0.8,75.2,0.3,853,0,0,2,"2,000",0,0,16,1,
