name,type,weight,servers sharing enclosure,#CPU,#HDD,#SSD,total carbon,embody percentage,embody carbon ,HDD percentage,HDD carbon,SSD percentage,SSD percenatge,mainboard percentage,mainboard carbon,daughterboard percentage,daughterboard carbon
SD530,blade,55,4,2,6,0,25800,0.113,2915.4,0.016,412.8,0,0,0.08,2064,0.012,309.6
SD650,Rack,21.4,6,2,0,2,50146,0.17,8524.82,0,0,0,0,0.17,8524.82,0,0
SD630v2,blade,5.18,4,2,0,6,38300,0.089,3408.7,0,0,0.014,536.2,0.068,2604.4,0.003,114.9
SD650v2,blade,20.36,6,4,0,4,106000,0.032,3392,0,0,0.003,318,0.026,2756,0.002,212
SD650n v2,blade,20.36,6,4,0,4,106000,0.032,3392,0,0,0.003,318,0.026,2756,0.002,212
SD650v3,blade,10.18,12,2,0,1,15468,0.189,2923.452,0,0,0.001,15.468,0.18,2784.24,0.002,30.936
SD665v3,blade,23.5,6,4,0,4,23525,0.128,3011.2,0,0,0.002,47.05,0.119,2799.475,0.002,47.05
SE350,Rack,3.6,2,1,0,10,4880,0.365,1781.2,0,0,0.03,146.4,0.273,1332.24,0.043,209.84
SE450,Rack,17.5,21,1,0,2,10200,0.129,1315.8,0,0,0.017,173.4,0.106,1081.2,0.002,20.4
SN550,blade,5.85,14,2,2,0,23700,0.106,2512.2,0.006,142.2,0,0,0.085,2014.5,0.004,94.8
SN550v2,blade,6.51,14,2,0,2,103000,0.029,2987,0,0,0.002,206,0.025,2575,0,0
SN850,blade,10.8,7,4,4,0,44500,0.106,4717,0.006,267,0,0,0.09,4005,0.002,89
SR250,Rack,12.3,42,1,8,10,4310,0.301,1297.31,0.129,555.99,0.028,120.68,0.072,310.32,0.069,297.39
SR250v2,Rack,12.3,42,1,0,2,4300,0.136,584.8,0,0,0.007,30.1,0.099,425.7,0.008,34.4
SR530,Rack,26,42,2,8,0,12500,0.142,1775,0.043,537.5,0,0,0.073,912.5,0.023,287.5
SR550,Rack,36.8,21,2,16,0,14100,0.165,2326.5,0.077,1085.7,0,0,0.065,916.5,0.021,296.1
SR570,Rack,21.58,42,2,0,10,18900,0.084,1587.6,0,0,0.002,37.8,0.065,1228.5,0.015,283.5
SR590,Rack,36.5,21,2,16,0,10100,0.267,2696.7,0.096,969.6,0,0,0.149,1504.9,0.021,212.1
SR630,Rack,27,42,2,12,0,18000,0.104,1872,0.045,810,0,0,0.055,990,0.003,54
SR630v2,Rack,18,42,2,8,8,19933,0.081,1614.573,0.027,538.191,0.001,19.933,0.05,996.65,0.002,39.866
SR635,Rack,16.5,42,1,16,0,9280,0.221,2050.88,0.111,1030.08,0,0,0.092,853.76,0.016,148.48
SR635v3,Rack,12,42,1,1,0,5008,0.183,916.464,0.012,60.096,0,0,0.144,721.152,0.023,115.184
SR645,Rack,20.2,42,2,12,0,18000,0.595,10710,0.043,774,0,0,0.548,9864,0.004,72
SR650,Rack,46,21,2,24,0,21900,0.14,3066,0.074,1620.6,0,0,0.045,985.5,0.02,438
SR650v2,Rack,29,21,2,18,18,20608,0.114,2349.312,0.059,1215.872,0.003,61.824,0.048,989.184,0.002,41.216
SR650v3,Rack,39,24,2,2,0,9957,0.117,1164.969,0.012,119.484,0,0,0.088,876.216,0.01,99.57
SR655,Rack,35.4,21,1,0,16,13900,0.467,6491.3,0,0,0.262,3641.8,0.19,2641,0.014,194.6
SR655v3,Rack,38,21,1,0,1,6005,0.164,984.82,0,0,0.018,108.09,0.121,726.605,0.021,126.105
SR670,Rack,31.3,10,2,8,0,60600,0.044,2666.4,0.008,484.8,0,0,0.034,2060.4,0.001,60.6
SR670v2,Rack,39.46,14,2,0,6,29623,0.262,7761.226,0,0,0.005,148.115,0.251,7435.373,0.004,118.492
SR850,Rack,25,21,4,0,8,48900,0.162,7921.8,0,0,0.001,48.9,0.155,7579.5,0.006,293.4
SR850v2,Rack,29.4,20,4,0,2,45300,0.178,8063.4,0,0,0.005,226.5,0.169,7655.7,0.005,226.5
SR850P,Rack,25,21,4,0,2,32900,0.133,4375.7,0,0,0,0,0.123,4046.7,0.009,296.1
SR860v2,Rack,42.87,10,4,0,2,40700,0.116,4721.2,0,0,0.004,162.8,0.102,4151.4,0.007,284.9
SR950,Rack,58.7,10,8,0,24,85200,0.183,15591.6,0,0,0.001,85.2,0.178,15165.6,0.003,255.6
ST50,Tower,11.2,1,1,4,4,6020,0.209,1258.18,0.043,258.86,0.008,48.16,0.052,313.04,0.034,204.68
ST650v2,Tower,30.6,1,2,0,32,25500,0.23,5865,0,0,0.107,2728.5,0.106,2703,0.013,331.5
ST250,Tower,11.2,1,1,4,4,6020,0.156,939.12,0.043,258.86,0.008,48.16,0.052,313.04,0.035,210.7
ST250v2,Tower,23,1,1,2,0,5120,0.162,829.44,0.026,133.12,0,0,0.1,512,0.004,20.48
ST550,Tower,26.9,1,2,20,0,15000,0.174,2610,0.089,1335,0,0,0.077,1155,0.001,15
